id,name,rate
1097,Mobile,579
38025,Dunn,579
41003,Benton,579
48025,Bee,579
19159,Ringgold,578
20089,Jewell,578
21067,Fayette,578
29089,Howard,578
18155,Switzerland,577
35045,San Juan,577
12027,DeSoto,576
21031,Butler,576
29047,Clay,576
31001,Adams,575
18019,Clark,574
20013,Brown,574
29165,Platte,574
46101,Moody,574
18073,Jasper,573
20001,Allen,573
39041,Delaware,572
39111,Monroe,572
40151,Woods,572
47081,Hickman,571
49035,Salt Lake,571
16047,Gooding,570
6115,Yuba,569
18119,Owen,569
6011,Colusa,568
36053,Madison,568
38005,Benson,568
48503,Young,568
6093,Siskiyou,567
40139,Texas,567
55133,Waukesha,567
6013,Contra Costa,565
17035,Cumberland,565
18181,White,565
17041,Douglas,564
16049,Idaho,563
18031,Decatur,562
19057,Des Moines,562
27163,Washington,562
39013,Belmont,562
19053,Decatur,561
19117,Lucas,561
19195,Worth,561
29111,Lewis,561
31179,Wayne,561
48091,Comal,561
8063,Kit Carson,560
13195,Madison,560
20197,Wabaunsee,560
24023,Garrett,560
46039,Deuel,560
42073,Lawrence,559
28079,Leake,558
20057,Ford,557
27021,Cass,557
46051,Grant,557
46077,Kingsbury,557
6087,Santa Cruz,556
38103,Wells,556
41033,Josephine,556
47109,McNairy,556
55075,Marinette,556
48411,San Saba,555
17089,Kane,554
39175,Wyandot,554
29205,Shelby,553
20183,Smith,552
29079,Grundy,552
42087,Mifflin,552
46053,Gregory,552
27159,Wadena,551
42127,Wayne,551
46087,McCook,551
21219,Todd,550
39129,Pickaway,550
47181,Wayne,550
51031,Campbell,550
48265,Kerr,549
5075,Lawrence,548
36049,Lewis,548
51117,Mecklenburg,548
17005,Bond,547
42017,Bucks,547
46029,Codington,547
16041,Franklin,546
21057,Cumberland,546
28101,Newton,546
28127,Simpson,546
46025,Clark,546
50001,Addison,544
17015,Carroll,542
21181,Nicholas,541
31081,Hamilton,541
36043,Herkimer,541
49039,Sanpete,541
17161,Rock Island,540
18109,Morgan,540
31169,Thayer,540
39097,Madison,540
46103,Pennington,540
18045,Fountain,539
5071,Johnson,538
13175,Laurens,537
54063,Monroe,537
19003,Adams,536
19189,Winnebago,536
31051,Dixon,536
18005,Bartholomew,535
28147,Walthall,535
